ID,Multiple,TrackId,Study,Migration Year,Flyway,Status,Year Born,Sex,Age,Notes,Death Comments
Art,No,Art.2012,Bierregaard Osprey,2012,Caribbean Corridor,Complete,2009,M,Adult,"Returned in 2013, but did not complete a second fall migration",
Artoo,Yes,Artoo.2013,Bierregaard Osprey,2013,Caribbean Corridor,Complete,2013,M,Juvenile,First migration?,
Artoo,Yes,Artoo.2015,Bierregaard Osprey,2015,Caribbean Corridor,Incomplete,2013,M,Adult,"Second migration? Did not complete,, disappeared off coast of Florida",
Bea,No,Bea.2009,Bierregaard Osprey,2009,Caribbean Corridor,Complete,2009,F,Juvenile,,Shot in Venezuela
Belle,Yes,Belle.2010,Bierregaard Osprey,2010,Caribbean Corridor,Complete,2010,F,Juvenile,"First migration? Did not have actual migration tracks in 2011, but reappeared in 2012",
Belle,Yes,Belle.2012,Bierregaard Osprey,2012,Caribbean Corridor,Complete,2010,F,Adult,,
Belle,Yes,Belle.2013,Bierregaard Osprey,2013,Caribbean Corridor,Complete,2010,F,Adult,,
Belle,Yes,Belle.2014,Bierregaard Osprey,2014,Caribbean Corridor,Complete,2010,F,Adult,,
Belle,Yes,Belle.2015,Bierregaard Osprey,2015,Caribbean Corridor,Complete,2010,F,Adult,,
Belle,Yes,Belle.2016,Bierregaard Osprey,2016,Caribbean Corridor,Complete,2010,F,Adult,,
Bergen,No,Bergen.2013,Bierregaard Osprey,2013,Caribbean Corridor,Complete,2013,M,Juvenile,,
Blackie,No,Blackie.2014,Bierregaard Osprey,2014,Caribbean Corridor,Incomplete,2014,M,Juvenile,,
Borealis,No,Borealis.2017,Bierregaard Osprey,2017,Caribbean Corridor,Complete,2017,F,Juvenile,,
Bridger,No,Bridger.2012,Bierregaard Osprey,2012,Caribbean Corridor,Complete,2007,M,Adult,Missing a large chunk of points in the middle of track?,"Last signal from Columbia in 2013 = made it to wintering grounds, but did not return to nest the following spring"
Bridget,No,Bridget.2014,Bierregaard Osprey,2014,Caribbean Corridor,Complete,2014,F,Juvenile,,
Buck,Yes,Buck.2009,Bierregaard Osprey,2009,Caribbean Corridor,Complete,2009,M,Juvenile,First migration? Points for 2010 do not show an actual migration track,
Buck,Yes,Buck.2011,Bierregaard Osprey,2011,Caribbean Corridor,Complete,2009,M,Adult,,Stopped moving on wintering grounds
Caley,No,Caley.2009,Bierregaard Osprey,2009,Caribbean Corridor,Incomplete,2009,F,Juvenile,,Confirmed dead in Guyana
Captain Liz,No,Captain.Liz.2013,Bierregaard Osprey,2013,Caribbean Corridor,Complete,2013,F,Juvenile,Drowned?,
Charlie,Yes,Charlie.2014,Bierregaard Osprey,2014,Caribbean Corridor,Complete,2010,M,Adult,,
Charlie,Yes,Charlie.2015,Bierregaard Osprey,2015,Caribbean Corridor,Incomplete,2010,M,Adult,Adult?,
Chip,No,Chip.2012,Bierregaard Osprey,2012,Caribbean Corridor,Incomplete,2012,M,Juvenile,,Lost at sea
Clyde,No,Clyde.2014,Bierregaard Osprey,2014,Caribbean Corridor,Complete,2014,M,Juvenile,,
